d,m1,m2,target
1.413226005406952,1.4889580411168846,1.8797991118196749,703994.6286817698
2.1611540339624167,2.2137246599214913,2.176592711698767,1166184.8413672051
2.5863586890788044,2.587457235821383,2.796612443968459,1378683.4540780773
1.1433400339542368,1.468393658339624,2.793377911467004,455464.77938007197
1.3649127017595857,2.9535278803724805,1.5853119892972396,575667.4178919045
1.0952331210299406,2.770180447373967,2.297574464378188,391596.5156356512
2.503737801997983,1.5731929621635372,2.7284338317752663,1469107.8271368993
1.6758489232077818,2.355860112034769,1.272326993868149,875980.0721296648
1.7194720611902645,2.8343102942670226,1.3905077188884525,843675.5232120246
1.5835361870546811,2.1841462945582717,1.5504012120631865,793066.7854573403
1.8563343051691295,2.113624932457302,2.553902900793199,900383.6390552379
2.7267980607866114,2.156402313788467,2.0012209365513733,1698414.4090736357
2.408728083872809,2.5170923018350324,2.2986854229553426,1310192.818737922
1.5704357095280936,2.0076504657261403,1.832392092457265,772411.9628323296
1.5096433612799955,2.9843412014028625,1.709899038382167,658439.161965343
2.1368307252664653,1.6844357141177089,2.938075304815735,1117385.340261423
1.1539836414194524,1.9782328625742307,1.1885084847630734,535771.9214739238
2.6496721733815445,1.2602179435150112,1.7934192198487466,1898306.2090748665
1.5616742464120286,1.4160807901438583,1.9612662451192473,816741.4478214217
2.3922744341657562,1.4148097091398009,1.521417172115701,1660766.059114804
2.7217450858613077,1.644255642766938,1.2222134902338577,2039784.5766348878
2.1806424939310025,2.578132019149761,2.834936818160255,1064490.275901252
2.599969593161013,2.7046099067318057,2.5345263911369864,1408670.1829923005
1.2147378497105483,2.019882190068981,1.3156091994155052,563807.3081032803
2.264680936580587,2.120042396724237,2.9674443842616185,1162105.7681268568
1.000354081505103,2.7626935860096182,1.0749261446416296,392813.5142026105
1.7500467864047904,2.278735903244957,1.5957544364031293,904594.5463950537
1.2364285108455748,1.223086201953339,2.3538456948581326,559094.1496680293
2.271824263307865,1.9605333166062027,2.8489196799842613,1200883.9077545747
1.8938949505810097,1.7548937686050756,2.6575179891032246,954294.8494320126
1.9282702683882034,1.737844381513455,2.392203201838436,1013353.7921753519
1.8523319448922464,2.8127175595658205,1.8046575448109794,902334.1902622923
2.347134460407011,1.3043473992153316,2.3579351269299162,1445166.2127290356
1.9993627853965144,1.3540756127888787,1.7911279676924248,1226026.3178521045
2.367048871991836,1.243157964912898,2.8426348567028077,1385668.7855433212
1.9244042418935678,2.4182385186220428,1.5135425457275473,1035467.7140591596
2.0239252073280216,1.59817733570968,2.2296465531940015,1131885.4626533757
1.6008182976251606,2.3431688540624283,1.679672663594422,776664.3394360864
1.4183884807340932,2.6119727692579815,1.8694615543296753,613721.0825752821
1.3314598838174965,2.4564650609953667,1.953332652108233,562690.47300191
2.2002581778161066,2.487122470172281,2.812690815432765,1090352.5615354443
2.7485390604117113,2.555166928503363,1.8698209964749888,1666032.9718279755
2.767869447299821,1.2958884155956627,2.9716485232906895,1714417.2405919414
1.3024054244336638,2.906094915424506,2.2558644645849157,503151.49840949284
2.6737172982176176,1.5387967142903778,1.3847005554378695,1966566.5582678039
