m0,v,target
1.8993836549781782,1.5081668489903919,1.8993836549781782
3.8639448305730926,1.2225407786813132,3.8639448305730926
4.485564793326806,1.410118388123289,4.485564793326806
1.72390965069037,1.4105555336843962,1.72390965069037
3.691768254993164,1.933997397213396,3.691768254993164
3.962688888995267,1.9479268403974157,3.962688888995267
2.796397626641434,1.6684627730708543,2.796397626641434
1.1140755876130513,1.7472164189347912,1.1140755876130513
1.5535600639535607,1.754174826091456,1.5535600639535607
3.702777982567306,1.9469082851235826,3.702777982567306
1.2629758887386182,1.152773402033025,1.2629758887386182
4.2030001340924965,1.359096038098075,4.2030001340924965
4.527275659544802,1.9546773724415258,4.527275659544802
3.1245509405917837,1.246639621327505,3.1245509405917837
3.153234894694903,1.2854946211889455,3.153234894694903
4.220092611353364,1.7503434912809197,4.220092611353364
4.4983584342115215,1.4240718034695141,4.4983584342115215
3.0023492554938516,1.709639060319914,3.0023492554938516
4.293929924074986,1.042181959745071,4.293929924074986
3.0013289619422836,1.161479924779016,3.0013289619422836
3.8874232132271507,1.5258888557240788,3.8874232132271507
3.548025474143285,1.5005319129368455,3.548025474143285
4.188263048747684,1.9554553690367977,4.188263048747684
4.062766109672056,1.927525832785307,4.062766109672056
3.5858372766827826,1.0579530443285314,3.5858372766827826
1.040219306792769,1.4243607184978924,1.040219306792769
2.0107296185205907,1.8898588555422877,2.0107296185205907
1.9098415659934935,1.0366441615919637,1.9098415659934935
2.8890996441061003,1.7526718574689784,2.8890996441061003
1.2560885121539584,1.4229264030875899,1.2560885121539584
2.0724054225342567,1.1196611780838093,2.0724054225342567
4.462840089472782,1.4508742480139558,4.462840089472782
1.9208884932644228,1.4264081919405345,1.9208884932644228
3.6717411359714203,1.521656121435467,3.6717411359714203
4.3646682031749275,1.9293049970862826,4.3646682031749275
4.188486846963114,1.9735986325004682,4.188486846963114
2.1491607261461554,1.5843963260616274,2.1491607261461554
4.440179917176131,1.8525427529092744,4.440179917176131
1.640422264091812,1.552671847598393,1.640422264091812
1.1242064092712996,1.1408323796515272,1.1242064092712996
4.988267705961524,1.6595399486866484,4.988267705961524
3.7539000528225146,1.2346293457474413,3.7539000528225146
3.311624066886481,1.8824596448744462,3.311624066886481
3.3759487349188246,1.5546053211366782,3.3759487349188246
1.9108606837787456,1.607844361864072,1.9108606837787456
2.241379158445514,1.6356009525973114,2.241379158445514
2.03401255847557,1.7266230154203455,2.03401255847557
1.8187556671375193,1.8218539532104656,1.8187556671375193
4.852975571885092,1.6162509383488661,4.852975571885092
3.4855168410009183,1.1110064786173428,3.4855168410009183
1.0972075289615746,1.9029389884554555,1.0972075289615746
4.831307375393095,1.592353876066257,4.831307375393095
3.7855805245921723,1.5627003450280437,3.7855805245921723
3.449608975137176,1.6324025539272906,3.449608975137176
3.0612188008953467,1.4987960824361357,3.0612188008953467
2.0161520392044543,1.4254311724879887,2.0161520392044543
3.4381670370599218,1.0494318634085649,3.4381670370599218
2.220971824278741,1.034177421569988,2.220971824278741
3.3468827679736965,1.6146203661005898,3.3468827679736965
4.127517396096566,1.7632763917532166,4.127517396096566
2.8872493432580186,1.3799918916031944,2.8872493432580186
2.24086358143113,1.2715178530654385,2.24086358143113
3.9141321355358514,1.0343509731140972,3.9141321355358514
2.6342648216910063,1.023933865281487,2.6342648216910063
2.12025178291138,1.0270302108921747,2.12025178291138
4.625069353303761,1.0426250467560547,4.625069353303761
4.055463148832805,1.8327161590963787,4.055463148832805
4.434128505237879,1.2952921093865308,4.434128505237879
2.063060075540856,1.458936450744131,2.063060075540856
3.9380735515158176,1.1822048318159244,3.9380735515158176
4.625279962399099,1.1973379239628634,4.625279962399099
2.3319324755031943,1.594450596942035,2.3319324755031943
1.1479449681728617,1.8103168898193647,1.1479449681728617
2.7314265667642825,1.7627740313582965,2.7314265667642825
1.4239031678650234,1.5440435779147121,1.4239031678650234
3.232290598081764,1.4430628700901842,3.232290598081764
3.188996932463963,1.8969585409273864,3.188996932463963
1.603978147083772,1.927987797508521,1.603978147083772
1.8969484635256504,1.5258121854375597,1.8969484635256504
1.8844819709257887,1.7800252976097526,1.8844819709257887
4.618083216343525,1.090304034915853,4.618083216343525
4.03362815811724,1.122350992794352,4.03362815811724
3.9243129847800713,1.2166928483140034,3.9243129847800713
1.8894946469649505,1.5414258288485416,1.8894946469649505
2.4607679585608206,1.7033561740284586,2.4607679585608206
2.3460063382946093,1.6968194778738126,2.3460063382946093
1.6431980793468264,1.0541067173552852,1.6431980793468264
4.256952348989138,1.8489802823372483,4.256952348989138
2.234021391905031,1.0923662160033425,2.234021391905031
2.518071870422431,1.970320719261748,2.518071870422431
1.7086860722636046,1.4637900362861014,1.7086860722636046
3.1372297382918473,1.339938444360443,3.1372297382918473
