d,m1,m2,target
2.126174400060619,2.0629929133612626,1.5208259432715454,1259540.3046319624
2.771352214952704,1.0812858781793302,1.425739529426174,2241016.1487647374
1.6635081665844391,1.5537933332426264,2.0313190434624637,871510.8262088643
2.966894970137153,2.2142619933173133,1.5073465911425712,2037392.3833521334
1.007277877796392,1.3256500216703095,1.1153313438570422,497655.1228789077
2.5100885755134454,2.3244732520862463,1.2412230469590215,1619750.6490464022
1.603877264037103,2.5964345824699784,2.155838488024462,716626.3450251217
1.4141218292270328,2.364139873388134,1.1202704695089913,692870.9604872331
2.231016843218284,1.7116438570666561,1.0300002181801218,1547873.6391233695
2.1880258225475053,1.328193498952519,2.0087946354959527,1362661.8606704562
1.1755208496261629,2.9985553275747843,1.8106864041673256,446986.0488197968
1.2232651241970185,1.9325671240637878,2.626751695614623,487323.8617678316
2.935455524131006,1.2608453437470006,2.480874790047089,1999697.8228031865
2.420468515144149,2.626279814493378,1.7295617727379855,1387713.7307020507
1.5432187266309487,1.5282550465604643,2.3379015231492177,749873.9647266871
1.4234133391543011,1.9260700185537214,2.0601705530808934,654186.4760750518
1.3703527521322452,2.7475004762720188,2.7373361891405943,526809.3594396628
1.2610862887392225,1.7276164325018635,1.0680203211036472,651423.7708900296
1.2549076846056089,1.3397368779788918,2.3574334669665253,562302.0993008533
1.837768411758807,1.814784204223753,2.284712649030997,946362.8035487933
1.906256701849299,2.4124811211562767,2.2859984462177954,933856.5543141185
1.8177266158947292,1.7795902836389272,1.7871612320846304,998029.0658365033
1.5328648744148088,1.6888991641872007,2.398166462663049,721999.2896035251
1.4416182205637316,2.359993908076639,1.7164307297491272,659359.7801240453
2.331935166631303,1.8586606986723884,1.6919408629805208,1453484.835568696
2.5056895977674376,1.58757619365845,2.3012538870213315,1546921.1900392035
1.3327438735259707,2.0732244267877262,1.1147056769012436,662754.0861247045
2.1589263504107064,1.2025295037455028,1.3856812904879912,1516504.4385190413
1.9790572446592378,2.7095149178620823,2.1980247164408846,966590.214189228
2.99339294258104,2.848610243730184,2.4541715145925718,1729738.6356876502
1.20055962217253,1.1253229380618615,1.9028076973921393,581400.047606791
1.7635905401726748,1.1039285976650979,1.925173655737624,1034966.8536816993
2.5342994961194627,1.7034876573339939,2.864340992217257,1451840.0448587171
1.2073266852825926,1.5138187204523594,1.170527075947111,622737.095292585
1.8118973169964525,2.3379949345459305,1.3852340332250435,972136.540467644
2.50907562348159,1.4433748872733105,1.694174514368481,1725687.318327745
1.9013565566256219,2.0294461059963416,1.0734761814674967,1144713.1392464086
1.704432560411596,1.941765342907592,1.7609368469353743,889399.9667500579
1.7428507555763184,1.499892093361017,1.4443671077062052,1031309.5640708129
1.112694420604926,2.1847079912964755,1.8928856596203067,447042.3429417178
2.66649616003597,1.5732636086555154,1.9982524779109738,1772033.4098876328
2.2763436196315237,2.7794923695205105,2.3236616745093244,1169295.178338418
2.9505466676276226,1.7776036256320507,2.075923196440461,1985689.3486836974
2.6511081398886898,2.562447994969131,2.3043122752994405,1504901.083646398
1.6052518900934802,1.0864976085021165,2.5095624503142107,824874.890881261
2.067496145581841,1.209890641759942,2.9702941638937297,1118294.2423506528
2.21846893857377,2.282433428017227,1.5618261828010043,1296165.4515114282
2.4041608404549644,2.9758180171321964,2.846511950222377,1188183.8318568694
2.500862148434859,2.4704035512215974,1.4305103298542765,1540062.03851081
2.9510112021314416,1.5955968896088568,1.8252478378063746,2108027.991516304
2.983950430348993,2.2794980100588687,2.8951062204175835,1742752.0572069476
2.500513169310138,2.1196424967990426,1.6088112555433394,1574947.5899438874
2.9606231567698926,2.631803039140073,1.4707570573406357,1934345.239323823
1.5915448480413323,1.208380011119669,1.6353398001373063,915738.9504090779
2.1914953686176086,1.3151071605510898,1.6457912691850805,1450059.5841859267
1.0122556659002606,2.3060743595699926,1.0137350010491861,429898.0934875756
2.9074149676377363,1.6483650910748233,2.0406709853490472,1985138.6675497494
1.2778189821501507,2.541539482765214,2.297092321209474,505044.3097631315
1.5982351925091973,1.4565120378773244,2.4647901574722164,784752.3864698599
1.0074703460385477,1.4184769579226104,2.2590825501435203,405560.1926095846
2.1284585792621726,1.2478073036986475,1.6858941096917084,1394365.4614023424
2.786329366006461,2.868377547658128,2.6923602280630314,1516942.9136450768
2.575383880127302,2.0722298024182617,1.4374403160732505,1696744.9984662163
1.4840038747936928,2.1943817278626105,1.7945494675410116,696163.1754329724
1.9334898159699228,2.6291633063667152,1.5746308769988762,1008506.9097112078
1.0842584709046383,2.923770707682899,1.0054512652219185,438059.114467518
2.221106192069877,2.5947671479956895,1.9219956028348166,1197918.058359101
2.2392007525217377,1.6669655377697992,2.8385801632952763,1214094.8438390028
