m,k_G,L,E,theta1,theta2,target
1.4957539681108514,1.8926878538572587,2.674292726339033,2.877170723272024,5.0820993473581035,3.913769793483504,0.852653806590122
1.6421647603966643,1.22539694804455,1.5025888905001938,2.3377264675958385,5.0691567726599125,2.3755303058947566,-0.9548013648937574
1.5429818705881215,2.326218839767015,1.781282404067292,1.3512072452152963,3.198508209995812,5.806407616065062,-0.255343855185214
2.4840527346209464,2.2299928513333747,2.110509122195195,1.3251318967927834,4.011082812065951,4.100550425954053,2.9758106414429757
1.4432205473594202,1.7433672989662088,2.2580895442466793,2.4140937173878916,3.146818156957318,2.3544212025528672,1.3843806420844977
1.76363736618914,2.572046532248616,2.4123524953014366,2.917337357753467,4.5557113561097,2.8305908584019424,0.5425540382509011
1.974215057897337,1.583821192423739,1.040786733733314,1.3197025257765582,2.7194213559065306,0.4757623179858985,0.6271811738269355
1.6666748982612016,1.785149281673915,1.1833098137838085,1.8822968269201963,5.8940166974895885,1.7067963221889868,0.6211118200251313
2.924469454209734,1.4981943273855975,2.6226312665289857,1.9405427892735514,0.801641264590411,5.7064416687518404,0.9111922176421036
2.7267969813124937,2.414347909557619,1.8334716771669415,1.1164166469217978,0.331574771874664,3.032369437218551,-0.1906936007621028
1.8944582488049533,2.269785931290308,2.2860434494916144,2.7545957872967017,1.686326437824663,1.2266995972352879,2.288379960729793
2.691043720817745,2.6672787180443898,1.0207926676338714,2.626400877782406,0.4595010182084023,1.5495755925593766,10.500375260155023
2.0880408643428456,2.0205939172775937,2.6151639732336434,2.882303855544398,5.367970591232943,3.427773444339845,0.08865713993019003
1.1987994488245386,2.6946200649248615,1.666997002527268,1.057245158961475,1.2404796832762326,4.576752976279615,-0.31361416566786127
1.4873788912021633,1.1501417915534558,1.6525281634934315,1.1131362972435879,0.29131586200653214,5.564689363434492,1.3004377565283007
2.194479940277374,2.7621678415330404,2.0655167701651944,1.5358850469715786,0.2951538308719548,5.213845384664278,1.8093574871697273
1.4941977092558043,2.0412124336661392,2.292635495436429,2.828027163231222,2.761936929247443,5.549515943959985,-0.7277436997633564
2.8758541748395112,1.2340267797255058,1.905103287031884,1.0021524858121744,3.2823378890313677,4.176320326306218,1.9768261395999858
1.9459349852315566,1.2665639146367027,1.8034183475683885,2.14999149875933,1.6479969110648227,0.03975948886593694,0.6914089294086148
1.0705703261206005,1.84132864351572,1.0959832614030838,1.3344175066535402,3.3457247850356184,1.5179409345421286,1.0687048560536043
