q,r,target
2.5394134658417613,2.7838291486948137,2945092099.931904
4.267637042387722,1.4596980371135988,18001638923.240944
2.935588663934119,2.1287214738903706,5822481775.729159
1.2024291621854624,2.484882716745655,1750242913.9460242
4.916017002776188,1.2916155774344413,26484845652.83505
2.3422762537424666,1.834381297900388,6256183894.221899
3.4451895440640223,2.402966719321814,5362511381.414221
1.243782836732846,1.3017751707144223,6596646477.115372
1.892723649064266,3.324285497083277,1539363543.761232
2.0649717208746408,4.18749906184613,1058413282.4561354
3.5176057852487923,3.7331824328075163,2268503001.357696
2.9148540738564557,1.1666279736112704,19248755864.37829
3.4769037577409607,4.339673530498898,1659316261.5257978
2.425116891843688,3.9033560932824023,1430562872.7067845
1.7728713910014706,1.2705260672903993,9870989510.993969
4.58733299737234,1.2740092998746833,25401869986.808487
1.9007418531156137,4.344437451530039,905121035.45995
3.067329873348391,1.4659443329890394,12828507864.405415
1.516220813879169,4.651282753683697,629894171.6479208
4.915399227537673,1.8063735930761262,13539239280.999285
4.804734095221374,1.4048590362075424,21880360728.78335
1.1635583439755095,4.185514661424193,596954249.4550185
1.836716087878023,2.955717472753513,1889586643.4980528
1.4720862330731994,4.627016161204832,617990553.7092903
2.7505576878649407,1.2710958324789554,15300822836.68589
2.7300811806510303,1.6554260975354884,8953783407.729347
2.8243028192035347,4.97287971108798,1026469310.8021116
3.757492471580016,1.951833872777447,8864679454.73602
1.331996217130369,1.8057009579345666,3671655727.861474
3.9250196469864798,2.7243986406673897,4752817554.937543
3.122808880661378,4.253092316800053,1551623701.747927
2.14785576715649,2.009939208478218,4778481271.727669
4.734901513102061,2.6342049584237786,6132851410.8564
3.167017689037689,2.1731369658924002,6027356905.544519
1.5887755966522734,1.5324586832066647,6080448721.474452
2.718521292745575,4.693631985452467,1109086164.7066362
1.7277749454204026,4.546782606808801,751154736.9554257
1.2017745260817478,1.3498620378371298,5927817775.279209
2.747552621030776,1.2457222405069315,15913078336.265617
2.7997507438835,1.7922387511199989,7833904276.75346
3.2061204139180024,2.161326836985891,6168641843.858569
4.6881215031206525,3.3038114245784853,3860281503.7645593
4.803058416878744,3.56645229128027,3393873489.620999
4.0722249607142995,3.5412056043653704,2918637069.9181533
4.0875200965052585,4.232734826508146,2050540711.374847
2.4320406442895397,3.140524016662738,2216242143.36988
1.5338184440939715,1.0727732533060488,11978672741.964369
1.2291895397347097,3.4876376389518327,908252835.1399463
3.3720980170797956,1.8244696111244494,9104949473.480894
2.895505216622783,3.1327746405721166,2651652816.7200336
2.8766959174725777,4.1026310675064765,1536100556.456655
2.9000879637813646,3.8537529921098153,1755068369.7957656
1.785187348220358,1.893980182299944,4472842004.647181
4.133798439334645,4.3302587034845335,1981400319.834289
2.512040277471073,3.52923707852314,1812656656.4567914
2.1502656678557504,3.448927452469289,1624705388.4339645
3.9533399318316826,1.8036899673811884,10921718992.575134
2.9427156966851133,3.3206978059106396,2398502711.270953
3.426568835029091,2.569325610623896,4665216330.195977
3.508794835387545,2.22269474365034,6383354277.136793
4.483768198359646,4.0587098708314295,2446345288.0554066
3.2925846398674787,3.8032380598735425,2045881829.608368
1.5771638914790356,3.5196227060263015,1144287680.4182599
3.056001747625357,2.8320528673026457,3424534170.646333
1.3982008795872316,1.3624015208219142,6770331749.40179
3.4882913062049075,2.302300400663767,5914790760.147581
3.757010388119511,1.6272785594192332,12751732965.227057
1.585145176308313,4.92560945469657,587218478.4035954
4.36922176935826,1.3809403510917115,20592300509.263424
4.754075049882605,4.376107304721751,2231211432.365429
2.053846934360974,1.952986745803737,4839718486.5261
2.154303132962843,3.217958082801068,1869806503.643577
1.1999639320489348,4.9297607143731,443779392.8146008
4.540807266684774,4.5634845507194255,1959704175.2568698
3.962993863557983,4.468348259340059,1783938957.0180178
3.7849259675221036,3.5136704340259195,2755408279.221381
2.9369804569651228,2.0531378891683123,6262034265.203431
4.581700629012714,3.4169528944079004,3526950330.5663753
2.9990311593158294,2.7713332314677976,3509571521.9468217
2.5743185613031243,2.372490251906035,4110588785.22399
1.16944737686975,2.4208688796224775,1793447909.7842433
1.1294875133545985,4.815136617414216,437839385.01442343
1.0642238750693505,4.43689539797703,485875763.23620397
1.0748141346784266,1.0621500674237252,8562729514.444924
4.102448992299663,4.367860426909182,1932663763.192479
