mu,N,target
2.3893871753247136,1.2797357873826565,3.057784278176194
3.4289434387265496,2.1128708443846365,7.244914618729323
1.7989903750679765,2.7354517295304577,4.921051332888343
3.4170408957299427,3.494940177836704,11.942353515797697
3.2943390713521143,1.1376866740703382,3.7479256613465535
1.7121433960708434,3.9105971668792168,6.695503113965601
3.493793639874706,2.1046822301240296,7.353325389564646
2.412499411511887,3.25689837727139,7.85726541852125
3.0003861340999234,4.43289383319608,13.300393191058577
4.054345758518795,2.6635815817061683,10.799080688259187
1.1409415563479857,4.112548832747709,4.692177865792264
1.3999739645372067,4.883234634585558,6.836401351146142
1.2581178811332805,2.0889172872486625,2.6281041912959675
1.812234541731422,4.774101456344555,8.65179156491789
1.2423190536712512,2.349084192289743,2.9183120507594893
4.8018137282506,2.9513937682233116,14.172043113727968
4.9763228950999725,4.660978457546928,23.194533811858534
4.646118976384429,4.647550722077677,21.59307360355425
4.009858688605025,2.078054347127456,8.332704279222472
1.9835661261743183,1.0886362888594672,2.1593820663057595
1.078031473821516,1.6752245408384838,1.8059447807420832
1.5279784745297444,2.557359054002259,3.9075895861592023
2.4470746697852346,4.474147191763239,10.948572261854563
3.732816562679483,2.973909326004404,11.101057988016217
4.212083505170405,2.9277524839680904,12.331937944943673
2.0836866909646585,4.130593269862161,8.606862222199975
1.7331190400084462,2.820912661669807,4.8889774441408465
3.071322332546994,4.005420169883884,12.301936418998546
4.879417652866748,3.393753194866379,16.559539248503935
1.113132934146443,1.6732880989148455,1.8625920912174057
3.7603403730821796,1.596257247825919,6.002470574824849
4.746678439382792,2.1249468656604993,10.086439472064733
2.3108058849602604,4.851666957727208,11.211260557783275
1.7043164734574878,1.2772751630319688,2.176881101493483
4.4061249620570315,3.137624681395693,13.824766430263804
4.839596265849299,4.090239263757173,19.7951066673094
2.925126238057999,1.4794560016678924,4.327595568531131
2.6346552044338836,3.882017023989937,10.227776355956024
1.9898197461215932,3.68828721629611,7.339026732353843
3.54275608612126,4.530537885618184,16.050590667676765
3.2188791645367876,4.883071170650448,15.718016050156987
1.6627123252071643,3.3395395560940795,5.552693580434488
3.3029896695487238,3.0042661594479236,9.92306008923131
4.054826908271025,3.54462145638322,14.372826460977508
4.280815049921523,4.882153691608096,20.89959699906586
2.0319080831948835,1.5345803054661005,3.1181261269882428
1.9525227372747644,1.9252796173955518,3.759152228576474
2.0189875742834573,1.1940412545640027,2.410754456146552
2.8612336363350077,1.828845400161892,5.232753974599762
2.692114792554743,3.918111213824612,10.548005157611858
3.0294145262385963,4.366738344840099,13.228660574141681
1.1400427328720961,4.747389608884782,5.412227023721599
3.4082739157590902,4.875012218912776,16.61537698472726
3.1064124494486176,3.5623977606410704,11.066276753543297
1.3680367170970533,2.913832028173958,3.98622920199535
4.353481862308181,1.5994412969537595,6.963138676114864
4.795922368402627,3.188333223140207,15.29099862277936
2.4435530862333668,3.012117542901471,7.360269118054554
1.3444736244114357,2.2250800126914245,2.991561389268683
1.7606722067103218,1.6731253358373523,2.9458252771516995
1.868887767788622,3.771178961860463,7.047910231962814
4.723408832306453,1.7002620132851671,8.03103261078631
4.987819051372853,3.2614093693081445,16.26731978656108
3.0252228465708537,3.280186833098426,9.923296148510254
1.8614041440338105,4.8592954074329375,9.045112608480133
3.7440155271154665,3.9021549442614583,14.609728700525288
1.6341419044963414,3.903929856275364,6.379575370353952
2.0240040424037264,3.98025385540073,8.056049893124095
2.8603428441480236,3.5185507609794158,10.064261490939055
2.7321263791180384,2.4397606929173272,6.665734547854734
2.3343371416756082,3.625617856261168,8.463414423392742
2.020767029969927,1.293791927499222,2.6144520707316703
3.891834033822623,3.5518657213700324,13.823271897995834
1.179594971316987,1.4171517624483618,1.671665092577093
2.8030526802079834,4.8104332662334865,13.483897859877418
4.4954023016515485,4.150164111066797,18.65665729712133
1.7554842987393724,2.1227591340431893,3.7264703298184054
2.711954855324303,1.4967224407720674,4.05904369032465
2.1447570202622193,4.10270126793357,8.799297346439232
3.274858697265016,4.654751772467646,15.24365432567542
4.185422730155022,2.7982224039063324,11.711743653338589
2.6517040716510665,2.138182306470161,5.669826727999194
4.683896828084686,1.7592685367627148,8.240232319092067
4.6972200905463195,2.963226606272269,13.91892754782349
2.8749672010945577,3.495803557686235,10.050320569817591
1.2699127754558344,2.0196121738880293,2.5647313010865385
