q1,q2,r,target
4.793900270359078,2.5368837939892446,2.148088216410646,23688412766.18852
4.136674883934589,4.1627068501759315,4.581995076042073,7371716064.751401
4.0584816922500675,1.8165278011521022,1.5646718966120212,27065103618.0221
2.0810160609026744,2.1014530012874393,4.940457471729575,1610317088.1391065
4.78477955680871,4.001265761056729,3.2917293832472057,15880409665.94168
1.0290180754909346,1.915090487834143,1.2959259897905162,10546358292.761845
4.482447933638886,2.959544772938092,2.712304926441512,16207415310.388948
4.821636237393028,2.924863031451484,3.8140816063694105,8713058543.028316
3.4684015572684723,4.744534238921181,3.9702972205131966,9382693648.262928
2.113797815970688,1.3515136840241069,2.814733732380629,3240857046.298845
4.288635812194862,4.379909867525914,3.04240821050292,18238956633.898796
2.028941261519263,1.1945606990084134,4.904044507785569,905773287.9961716
2.723121458559524,2.3065975376702665,4.6931246333271215,2563098399.3379803
1.3031754522904833,1.9160515514245344,2.3848200339934316,3945930900.574765
4.621121410786929,4.8187619165691835,3.12802522328604,20454693384.545273
2.5220875250783057,2.137918690483289,2.984653797442427,5440189537.895508
3.381680867259648,4.524665549307403,1.8240945306275411,41330916838.1473
4.6607674605194145,1.5024281940422144,1.889421906284447,17629657929.861477
4.37578342858515,2.6564750240522628,2.037324026818085,25170506837.55079
1.7428798281467905,1.7867364534481123,3.7011396944246857,2043184594.51965
3.2425272165209593,3.2458055884968187,3.5534426164138524,7491316380.715626
3.4240903213774865,3.1506092412167126,2.4631834057018724,15980739520.5535
3.991542806435348,3.4558199699704137,1.9393316747708118,32963881014.86546
3.230986306175924,1.2313880884996133,3.382344697415029,3125683169.918881
2.1290204295182322,2.0673002323345826,1.3596355015944295,21398779747.265705
3.3809809976080847,4.54435095055887,4.216935269091781,7765534308.051054
3.1563118246967523,2.677655805150123,1.8144230207984138,23073218373.367096
1.7530777692111497,4.8136655760664055,1.9863804610817435,19222189146.045914
3.1814212109730446,4.689655687463055,2.2835854968672082,25714506649.836037
2.7643836214159934,4.538257232336187,4.255883437827004,6225275678.368746
1.2175556913599621,4.830997900137136,2.4972084555971596,8477478725.315596
3.6063563323298817,1.3476312602152256,1.8004352718775878,13475202662.739021
4.450910926507273,2.265669346298703,2.5447210250434718,13996379005.477962
2.5241888351210835,3.1097774503105207,2.6615825927340016,9959140857.068092
2.857717805946717,1.2558292149878003,1.3907284348257933,16676921042.257643
3.440514922957753,1.7350255797113827,2.3989976773004904,9322240251.145561
4.143471173254707,4.296559126150844,2.6652762644088477,22524298248.14889
2.8494675393567537,3.0961904454193077,4.013828898877465,4921803688.593709
1.8987269539385832,1.4555104660371936,1.9749530162810278,6368174127.01467
2.5124693694748883,3.3607974910691687,3.836104517362715,5157186959.316773
1.9887549518803254,3.7650930192682504,3.1842887966927016,6637166383.153787
2.2376571593450696,4.293959911723606,2.8466988911223736,10656610357.785372
2.4278967364839827,4.607340616687995,1.005152709175705,99510075340.5393
3.2422570562105797,4.414565662703405,3.2620687264077772,12089263120.86587
2.045147138199654,3.152018313029992,4.640095490278823,2690977539.336444
4.480044310898739,3.2803937123044298,2.4101542842233106,22738887322.842903
3.8564122814401443,3.566175796818343,3.6103615158851166,9482774896.09181
3.703531559318807,2.14090249763311,4.564155191592093,3420918683.6202335
2.85917951482997,3.151070983182469,3.79321537739366,5627755530.608568
2.6718040035937283,4.207431175131521,3.225229181502908,9712948230.76614
2.8510243523190577,3.684681937160959,2.265816469999724,18390862271.29371
1.2354261389324122,3.0030120810156977,3.431388521443582,2831944221.9277835
2.936052437415035,3.813321135837034,2.669893182859071,14116597555.459845
1.1215444118651687,2.030210558491321,1.0298249385804361,19296625438.464558
4.328853158931688,1.8035460050690935,1.38645818250155,36503721882.96637
4.847459342374941,2.126954455100474,3.052734742718095,9943627463.25894
2.984673141061004,4.708347260275136,3.6369217524288424,9548781755.167597
2.122553225589771,4.606394508471617,1.8053906120706418,26960502221.10556
2.387373932761833,3.9748137830036328,2.0309960080849216,20676151867.308563
2.1996326885490753,2.03218211849746,2.5145625182286833,6353873052.556308
1.4039938392427849,2.009999461255782,2.3976099646076285,4412194934.256576
4.3176010977953725,2.09798326811705,2.010977697344707,20131709081.7939
2.799416049160183,3.004464753501353,1.2735400746374288,46607944370.06386
1.9318238483654473,4.308143817738691,3.75459847838351,5306172135.577532
2.40674326412538,2.988497962625378,1.2977293647776587,38385312771.28621
2.0797167313264717,2.8213321266139153,3.8499898188355144,3557868203.786651
3.4905490718610284,3.6360805471458346,4.6069212028047515,5374725556.496611
2.827050521365273,4.283623283496647,2.164191424047504,23238287212.52455
1.9112045075226622,4.247234757273889,3.9861869851034757,4591437871.262104
2.857533056183551,3.2554411638288014,2.964894161952426,9511156815.76001
1.286547575763584,2.9592804168459956,2.157313047153324,7352520587.62014
3.87678209100825,4.209341995530341,2.047215302090872,34995256655.07861
4.358469756731336,4.458547584941584,4.124219910848896,10268202670.29711
3.926654354257179,4.059099534544341,2.4767005153462307,23353716519.36328
2.6144930748903774,2.1181573279234587,1.3490816527948195,27347640151.395348
4.7060967153741124,2.9068948126875496,2.630437065278996,17769898713.261803
1.1086776961781681,1.22145913164137,2.771427925124419,1584629338.6157198
3.594534041248857,2.4585350581400838,1.5071038879363599,34969002521.60627
2.5945131895183593,4.949275599719763,3.3001543596347567,10596919413.280346
3.8214158040925006,1.015113910104097,3.0044860079457636,3862329498.2524753
2.7262927060187883,1.5985328072622274,4.604194243123763,1847725187.0434413
1.13320832027379,4.650026567278038,4.744080908171893,2104319273.0795693
1.3405482035578329,4.769208528241205,1.933743726811132,15366732439.974548
1.256320243130716,4.3967126389367035,1.3684617242731543,26510245424.611965
3.2654853609330776,1.3187912847072023,4.334784751525676,2059867824.8562331
