q,r,target
4.72503741694087,4.970320881990198,1719044088.679078
2.787888518175625,1.1158785241627207,20122974777.328785
2.4407987357776517,2.7936640116218245,2810827809.340005
3.6897602391504396,4.613533323892067,1558050181.0012348
4.025900358389481,1.0950596139702933,30174363331.20022
1.0480706267844435,3.9564758888092766,601761115.4265746
3.615087455351906,1.6104546804683246,12527730743.783926
4.677185761070008,3.188394432140199,4135148906.559948
2.826873804265373,3.402171010086032,2195051734.5358872
1.2642976258197178,3.318810402520668,1031656349.2842207
3.6931693204824008,1.2832961561837108,20155614837.212902
4.539360521301149,1.6843746985716703,14380297681.795443
3.0105964421154705,4.231626495821979,1511083651.289958
2.0067836739633895,4.3466848779016996,954629531.2981246
2.502897231214194,2.308435630109588,4221415480.1055636
4.2412808749143975,3.805474736188798,2632267164.5107226
1.0140562714187942,1.71155884246294,3111207696.7984924
2.1361044016379185,4.6477777812045495,888755665.7389026
3.612748715715567,2.008557036065363,8048594290.600162
1.7943379152622745,2.999529836422567,1792455901.9711614
2.036871320408778,3.846604981281665,1237254472.0853302
4.434445464130104,4.749070421296047,1767147161.5460408
1.4092093970740471,1.8343482125027584,3764112432.705274
4.9703323409335844,4.2557525996828325,2466512387.127851
2.8829937406583777,2.6868555942246286,3589266175.3220925
3.466165355247987,2.8005409321173462,3972062251.06463
1.4389702096607122,2.3400180503306847,2361913597.7161007
4.736275105099674,2.123338428923306,9441676127.048365
3.530235387414041,1.705903743837863,10902980559.991148
1.6781804319964113,2.8339517256098654,1878037997.894153
1.3269749445093115,1.4769213580259533,5467623471.387092
3.232135147595165,1.7656347547674573,9318336565.145273
3.7607696849387175,1.2900483646345964,20310254744.515156
3.086796851319161,4.232994006620627,1548329397.977111
4.853061218852334,4.098782220615771,2596310924.3708086
3.103299939149056,1.4322245117256243,13597283948.898252
3.4501958192332554,4.239871409842211,1724999575.679406
1.7725408539155039,4.241219999763167,885656410.8895493
1.0139583101153185,1.5064240826523911,4015838299.436313
